DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.966572768576"
2,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.950006879764"
2,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.983138657389"
2,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.965359323881"
2,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.967786213272"
2,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.96599754963"
2,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.967147987522"
2,TnP,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.966477766893"
2,TnP,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.96666777026"
2,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.961062346908"
2,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.972083190244"
2,TnP,down_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.966432443199"
2,TnP,up_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.966713093953"
2,TnP,down_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.96646372119"
2,TnP,up_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.966681815962"
2,TnP,down_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.965868438655"
2,TnP,up_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.967277098497"
2,TnP,down_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.966482541237"
2,TnP,up_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.966662995915"
2,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.959176009926"
2,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.973969527227"
2,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.966498816285"
2,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.966646720867"
2,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.999637530004"
2,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.985071415851"
2,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.01420364416"
2,TnP,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.998520013202"
2,TnP,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00075504681"
2,TnP,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.999633414803"
2,TnP,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.999641645206"
2,TnP,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.991945491008"
2,TnP,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.007329569"
2,TnP,down_isr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.999545052827"
2,TnP,up_isr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.999730007182"
2,TnP,down_fsr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.999511422252"
2,TnP,up_fsr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.999763637757"
2,TnP,down_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.998978042859"
2,TnP,up_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00029701715"
2,TnP,down_bfragmentation,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.999410517016"
2,TnP,up_bfragmentation,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.999864542993"
2,TnP,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.991089742378"
2,TnP,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00818531763"
2,TnP,down_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.998965564348"
2,TnP,up_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00030949566"
2,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.961871750173"
2,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.951297398315"
2,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.972446102031"
2,TnP,down_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.961231816626"
2,TnP,up_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.96251168372"
2,TnP,down_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.961490476423"
2,TnP,up_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.962253023923"
2,TnP,down_bdecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.961866059867"
2,TnP,up_bdecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.961877440479"
2,TnP,down_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.955962512037"
2,TnP,up_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.967780988309"
2,TnP,down_isr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.961804768433"
2,TnP,up_isr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.961938731914"
2,TnP,down_fsr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.961730587634"
2,TnP,up_fsr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.962012912712"
2,TnP,down_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.961587115496"
2,TnP,up_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.96215638485"
2,TnP,down_bfragmentation,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.961742376752"
2,TnP,up_bfragmentation,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.962001123594"
2,TnP,down_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.955364978128"
2,TnP,up_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.968378522219"
2,TnP,down_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.961004638025"
2,TnP,up_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.962738862322"
2,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.979792186981"
2,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.971783367087"
2,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.987801006875"
2,TnP,down_jer,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.979101444525"
2,TnP,up_jer,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.980482929437"
2,TnP,down_jes,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.97947985434"
2,TnP,up_jes,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.980104519623"
2,TnP,down_bdecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.979773044409"
2,TnP,up_bdecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.979811329553"
2,TnP,down_bkg,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.977038749679"
2,TnP,up_bkg,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.982545624284"
2,TnP,down_isr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.979750931981"
2,TnP,up_isr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.979833441981"
2,TnP,down_fsr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.979717682349"
2,TnP,up_fsr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.979866691614"
2,TnP,down_mescales,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.978211531132"
2,TnP,up_mescales,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.98137284283"
2,TnP,down_bfragmentation,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.979773405808"
2,TnP,up_bfragmentation,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.979810968155"
2,TnP,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.976080996687"
2,TnP,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.983503377275"
2,TnP,down_pileup,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.979740853375"
2,TnP,up_pileup,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.979843520587"
2,TnP,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.972663092937"
2,TnP,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.963200205105"
2,TnP,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.98212598077"
2,TnP,down_jer,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.972173187116"
2,TnP,up_jer,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.973152998758"
2,TnP,down_jes,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.972237652847"
2,TnP,up_jes,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.973088533027"
2,TnP,down_bdecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.972658571245"
2,TnP,up_bdecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.972667614629"
2,TnP,down_bkg,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.97058193996"
2,TnP,up_bkg,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.974744245915"
2,TnP,down_isr,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.972629695609"
2,TnP,up_isr,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.972696490265"
2,TnP,down_fsr,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.972588071731"
2,TnP,up_fsr,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.972738114143"
2,TnP,down_mescales,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.972045817707"
2,TnP,up_mescales,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.973280368168"
2,TnP,down_bfragmentation,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.972644337263"
2,TnP,up_bfragmentation,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.972681848611"
2,TnP,down_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.970380737509"
2,TnP,up_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.974945448365"
2,TnP,down_pileup,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.972395178849"
2,TnP,up_pileup,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.972931007025"
2,TnP,central,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.965581175109"
2,TnP,down,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.945908086572"
2,TnP,up,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.985254263646"
2,TnP,down_jer,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.965502154838"
2,TnP,up_jer,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.96566019538"
2,TnP,down_jes,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.965015440371"
2,TnP,up_jes,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.966146909847"
2,TnP,down_bdecay,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.965568971928"
2,TnP,up_bdecay,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.96559337829"
2,TnP,down_bkg,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.959805609134"
2,TnP,up_bkg,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.971356741083"
2,TnP,down_isr,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.965557445672"
2,TnP,up_isr,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.965604904545"
2,TnP,down_fsr,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.965515575041"
2,TnP,up_fsr,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.965646775177"
2,TnP,down_mescales,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.963825743869"
2,TnP,up_mescales,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.967336606349"
