DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,20.0,30.0,0,1,1.0582168102264404
1,lt,up,0,0,2.4,20.0,30.0,0,1,1.2505296422452188
1,lt,down,0,0,2.4,20.0,30.0,0,1,0.8999500143013484
1,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.064171314239502
1,lt,down_jes,0,0,2.4,20.0,30.0,0,1,1.0510936308243002
1,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.06076979637146
1,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.055480718612671
1,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.0714635848999023
1,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.036479115486145
1,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.0582175254821777
1,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.0769233703613281
1,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,1.0582175254821777
1,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,1.0655994415283203
1,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,1.058210849761963
1,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,1.0582175254821777
1,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.0594137076414727
1,lt,down_cb,0,0,2.4,20.0,30.0,0,1,1.0570199128114082
1,lt,up_add,0,0,2.4,20.0,30.0,0,1,1.2876377967959551
1,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.8287958236569257
1,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.0682612283427615
1,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,1.0481723921101194
1,lt,central,0,0,2.4,30.0,50.0,0,1,1.0357506275177002
1,lt,up,0,0,2.4,30.0,50.0,0,1,1.1120853897819232
1,lt,down,0,0,2.4,30.0,50.0,0,1,0.9993221747710911
1,lt,up_jes,0,0,2.4,30.0,50.0,0,1,1.039778709411621
1,lt,down_jes,0,0,2.4,30.0,50.0,0,1,1.0248101158380059
1,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.042028546333313
1,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.0292214155197144
1,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.0430359840393066
1,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.0271621942520142
1,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.0357506275177002
1,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.0390751361846924
1,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,1.0357506275177002
1,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,1.036405324935913
1,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,1.0357048511505127
1,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,1.0357506275177002
1,lt,up_cb,0,0,2.4,30.0,50.0,0,1,1.036239499827676
1,lt,down_cb,0,0,2.4,30.0,50.0,0,1,1.0352617552077243
1,lt,up_add,0,0,2.4,30.0,50.0,0,1,1.0765466414729223
1,lt,down_add,0,0,2.4,30.0,50.0,0,1,0.9949546135624779
1,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,1.0415058759894609
1,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,1.0299953790459395
1,lt,central,0,0,2.4,50.0,70.0,0,1,1.0173819065093994
1,lt,up,0,0,2.4,50.0,70.0,0,1,1.0678539704550174
1,lt,down,0,0,2.4,50.0,70.0,0,1,0.989388104157307
1,lt,up_jes,0,0,2.4,50.0,70.0,0,1,1.0273418426513672
1,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.999775105349939
1,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,1.0298320055007935
1,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,1.0034033060073853
1,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.0229778289794922
1,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.013839840888977
1,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,1.0173841714859009
1,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,1.0181636810302734
1,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,1.0173841714859009
1,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,1.0150803327560425
1,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,1.0173288583755493
1,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,1.0173841714859009
1,lt,up_cb,0,0,2.4,50.0,70.0,0,1,1.0174590794510114
1,lt,down_cb,0,0,2.4,50.0,70.0,0,1,1.0173047335677874
1,lt,up_add,0,0,2.4,50.0,70.0,0,1,1.0358565766154395
1,lt,down_add,0,0,2.4,50.0,70.0,0,1,0.9989072364033593
1,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,1.0231799437836526
1,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,1.0115838692351462
1,lt,central,0,0,2.4,70.0,100.0,0,1,1.0231058597564697
1,lt,up,0,0,2.4,70.0,100.0,0,1,1.0898318623628713
1,lt,down,0,0,2.4,70.0,100.0,0,1,0.972079470452426
1,lt,up_jes,0,0,2.4,70.0,100.0,0,1,1.0336507155772716
1,lt,down_jes,0,0,2.4,70.0,100.0,0,1,1.0203588008880615
1,lt,up_gluonsplitting,0,0,2.4,70.0,100.0,0,1,1.0383440256118774
1,lt,down_gluonsplitting,0,0,2.4,70.0,100.0,0,1,1.00580632686615
1,lt,up_bfragmentation,0,0,2.4,70.0,100.0,0,1,1.0324409008026123
1,lt,down_bfragmentation,0,0,2.4,70.0,100.0,0,1,1.0178200006484985
1,lt,up_cfragmentation,0,0,2.4,70.0,100.0,0,1,1.0231060981750488
1,lt,down_cfragmentation,0,0,2.4,70.0,100.0,0,1,1.0215888023376465
1,lt,up_dmux,0,0,2.4,70.0,100.0,0,1,1.0231060981750488
1,lt,down_dmux,0,0,2.4,70.0,100.0,0,1,1.020769476890564
1,lt,up_ksl,0,0,2.4,70.0,100.0,0,1,1.022957444190979
1,lt,down_ksl,0,0,2.4,70.0,100.0,0,1,1.0231060981750488
1,lt,up_cb,0,0,2.4,70.0,100.0,0,1,1.0231169752143154
1,lt,down_cb,0,0,2.4,70.0,100.0,0,1,1.023094744298624
1,lt,up_add,0,0,2.4,70.0,100.0,0,1,1.069233432184861
1,lt,down_add,0,0,2.4,70.0,100.0,0,1,0.9769782873280783
1,lt,up_statistic,0,0,2.4,70.0,100.0,0,1,1.0270749648586923
1,lt,down_statistic,0,0,2.4,70.0,100.0,0,1,1.0191367546542471
1,lt,central,0,0,2.4,100.0,140.0,0,1,1.0101637840270996
1,lt,up,0,0,2.4,100.0,140.0,0,1,1.0789211917818344
1,lt,down,0,0,2.4,100.0,140.0,0,1,0.958325846761874
1,lt,up_jes,0,0,2.4,100.0,140.0,0,1,1.0201703315579826
1,lt,down_jes,0,0,2.4,100.0,140.0,0,1,1.0084160566329956
1,lt,up_gluonsplitting,0,0,2.4,100.0,140.0,0,1,1.0279276371002197
1,lt,down_gluonsplitting,0,0,2.4,100.0,140.0,0,1,0.98891282081604
1,lt,up_bfragmentation,0,0,2.4,100.0,140.0,0,1,1.0211941003799438
1,lt,down_bfragmentation,0,0,2.4,100.0,140.0,0,1,1.004499912261963
1,lt,up_cfragmentation,0,0,2.4,100.0,140.0,0,1,1.0101654529571533
1,lt,down_cfragmentation,0,0,2.4,100.0,140.0,0,1,1.0089823007583618
1,lt,up_dmux,0,0,2.4,100.0,140.0,0,1,1.0101654529571533
1,lt,down_dmux,0,0,2.4,100.0,140.0,0,1,1.0072134733200073
1,lt,up_ksl,0,0,2.4,100.0,140.0,0,1,1.0102332830429077
1,lt,down_ksl,0,0,2.4,100.0,140.0,0,1,1.0101654529571533
1,lt,up_cb,0,0,2.4,100.0,140.0,0,1,1.0101971881958203
1,lt,down_cb,0,0,2.4,100.0,140.0,0,1,1.0101303798583787
1,lt,up_add,0,0,2.4,100.0,140.0,0,1,1.0498189354908098
1,lt,down_add,0,0,2.4,100.0,140.0,0,1,0.9705086325633895
1,lt,up_statistic,0,0,2.4,100.0,140.0,0,1,1.0212338422140348
1,lt,down_statistic,0,0,2.4,100.0,140.0,0,1,0.9990937258401645
1,lt,central,0,0,2.4,140.0,200.0,0,1,0.9528154730796814
1,lt,up,0,0,2.4,140.0,200.0,0,1,1.0439965561299098
1,lt,down,0,0,2.4,140.0,200.0,0,1,0.8676972781098522
1,lt,up_jes,0,0,2.4,140.0,200.0,0,1,0.9566458536023894
1,lt,down_jes,0,0,2.4,140.0,200.0,0,1,0.9527018666267395
1,lt,up_gluonsplitting,0,0,2.4,140.0,200.0,0,1,0.9740335941314697
1,lt,down_gluonsplitting,0,0,2.4,140.0,200.0,0,1,0.9266915321350098
1,lt,up_bfragmentation,0,0,2.4,140.0,200.0,0,1,0.9670615792274475
1,lt,down_bfragmentation,0,0,2.4,140.0,200.0,0,1,0.9479374289512634
1,lt,up_cfragmentation,0,0,2.4,140.0,200.0,0,1,0.9528167843818665
1,lt,down_cfragmentation,0,0,2.4,140.0,200.0,0,1,0.949156641960144
1,lt,up_dmux,0,0,2.4,140.0,200.0,0,1,0.9528167843818665
1,lt,down_dmux,0,0,2.4,140.0,200.0,0,1,0.9490131139755249
1,lt,up_ksl,0,0,2.4,140.0,200.0,0,1,0.9526654481887817
1,lt,down_ksl,0,0,2.4,140.0,200.0,0,1,0.9528167843818665
1,lt,up_cb,0,0,2.4,140.0,200.0,0,1,0.9528627898122427
1,lt,down_cb,0,0,2.4,140.0,200.0,0,1,0.95276815634712
1,lt,up_add,0,0,2.4,140.0,200.0,0,1,0.9650543626862923
1,lt,down_add,0,0,2.4,140.0,200.0,0,1,0.9405765834730705
1,lt,up_statistic,0,0,2.4,140.0,200.0,0,1,0.9622851352895884
1,lt,down_statistic,0,0,2.4,140.0,200.0,0,1,0.9433458108697744
1,lt,central,0,0,2.4,200.0,300.0,0,1,0.9160592555999756
1,lt,up,0,0,2.4,200.0,300.0,0,1,1.0237963484639911
1,lt,down,0,0,2.4,200.0,300.0,0,1,0.8123871939204513
