DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,20.0,30.0,0,1,0.986955523491
1,lt,up,0,0,2.4,20.0,30.0,0,1,1.08267208852
1,lt,down,0,0,2.4,20.0,30.0,0,1,0.926805230107
1,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.00830125809
1,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.974254363259
1,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.991333186626
1,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.982217550278
1,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.991692900658
1,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.976641833782
1,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.986958920956
1,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.00871145725
1,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,0.986958920956
1,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,0.991688728333
1,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,0.986881673336
1,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,0.986958920956
1,lt,up_cb,0,0,2.4,20.0,30.0,0,1,0.987806160768
1,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.986104886213
1,lt,up_add,0,0,2.4,20.0,30.0,0,1,1.01327723574
1,lt,down_add,0,0,2.4,20.0,30.0,0,1,0.960633811241
1,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,0.997172318241
1,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.976738728741
1,lt,central,0,0,2.4,30.0,50.0,0,1,0.963244616985
1,lt,up,0,0,2.4,30.0,50.0,0,1,1.01759415848
1,lt,down,0,0,2.4,30.0,50.0,0,1,0.932002194414
1,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.968439102173
